dataTag,preLoad,rbfCP,linearCP,l2CP
attar2014investigating_crack_a_1_sandstone,2,1.8977272727272727,4.306818181818182,4.306818181818182
attar2014investigating_crack_a_2_sandstone,2,3.083333333333333,3.989864864864865,3.083333333333333
attar2014investigating_crack_a_3_sandstone,2,3.1274175199089873,4.3447098976109215,3.1274175199089873
attar2014investigating_crack_b_1_tuff,3.5,3.562780269058296,5.042600896860987,3.562780269058296
attar2014investigating_crack_b_2_tuff,3.5,3.7450980392156863,5.065359477124183,3.5098039215686274
attar2014investigating_linear_a_1_sandstone,8,7.0879249706916765,10.464243845252051,7.0879249706916765
attar2014investigating_linear_a_2_sandstone,8,7.045871559633028,10.302752293577981,6.621559633027523
attar2014investigating_linear_a_3_sandstone,8,7.087108013937282,10.257839721254355,6.6225319396051106
attar2014investigating_linear_b_1_tuff,14,10.305084745762711,15.610169491525424,9.711864406779661
attar2014investigating_linear_b_2_tuff,14,9.863539445628998,9.181236673773988,9.181236673773988
attar2014investigating_linear_b_3_tuff,14,10.38722966014418,15.890834191555097,9.810504634397528
attar2014investigating_plastic_a_1_sandstone,19,15.649393605292172,20.295479603087102,15.031973539140022
attar2014investigating_plastic_a_2_sandstone,19,15.774011299435028,16.768361581920903,15.246704331450093
attar2014investigating_plastic_b_1_tuff,35,22.538975501113587,21.057906458797326,21.057906458797326
attar2014investigating_plastic_b_2_tuff,35,22.48155953635406,20.858798735511066,20.858798735511066
attar2014investigating_plastic_b_3_tuff,35,21.32882882882883,21.32882882882883,21.32882882882883
ali2024secant_DRA1,7.2,5.392670157068062,9.541884816753926,5.392670157068062
ali2024secant_DRA3,7.2,7.112781954887218,9.443609022556391,6.390977443609023
ali2024secant_DRA5,23,13.907849829351536,13.907849829351536,13.907849829351536
wang2024triaxial_DRA2_1,30,31.48854961832061,32.68129770992367,31.48854961832061
wang2024triaxial_DRA2_2,30,31.03919781221513,33.363719234275294,31.03919781221513
wang2024triaxial_DRA2_3,30,30.833333333333332,33.10185185185185,30.833333333333332
wang2024triaxial_DRA2_4,30,31.193078324225862,32.28597449908925,31.193078324225862
wang2024triaxial_DRA3_1,15,19.784524975514202,21.469147894221354,20.646425073457397
wang2024triaxial_DRA4_1,30,31.466798810703665,32.65609514370664,31.466798810703665
wang2024triaxial_DRA5_1,15,25.643564356435643,30.2970297029703,26.831683168316832
ali2023evaluation_DRA1_black,7.5,6.193724420190996,8.922237380627557,6.193724420190996
ali2023evaluation_DRA1_red,15,11.070941336971352,14.924965893587995,10.081855388813096
ali2023evaluation_DRA1_blue,22.5,16.596180081855387,23.042291950886767,15.43656207366985
ali2023evaluation_DRA2_black,7.5,7.5479452054794525,11.287671232876711,7.5479452054794525
ali2023evaluation_DRA2_red,15,12.10958904109589,18.35616438356164,12.10958904109589
ali2023evaluation_DRA2_blue,22.5,17.082191780821915,25.506849315068493,15.767123287671232
ali2023evaluation_DRA2_green,30,20.123287671232877,31.342465753424655,20.123287671232877
seto1999situ_DRA2_2-1,20.4,24.038781163434905,26.598337950138504,24.83656509695291
